STATE,COUNTY,TRACT,year,id,name,parent_location,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate,fips,cofips,B25119_003E,B03002_001E,B03002_012E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_010E,B03002_011E,B25003_003E,B25003A_003E,B25003B_003E,B25003C_003E,B25003D_003E,B25003E_003E,B25003F_003E,B25003G_003E,B25003H_003E,B25003I_003E,B25119_003E_2018,frac_B03002_012E,frac_B03002_003E,frac_B03002_004E,frac_B03002_005E,frac_B03002_006E,frac_B03002_007E,frac_B03002_008E,frac_B03002_010E,frac_B03002_011E,frac_B25003A_003E,frac_B25003B_003E,frac_B25003C_003E,frac_B25003D_003E,frac_B25003E_003E,frac_B25003F_003E,frac_B25003G_003E,frac_B25003H_003E,frac_B25003I_003E
34,017,000200,2009,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,161.0,12.08,121.0,9.08,38.0,2.85,34017000200,34017,32426.0,5764,3519,1146,413,26,534,0,0,126,0,1333,789,119,0,99,0,305,21,409,747,38042.9403471,0.6105135322692574,0.1988202637057599,0.0716516308119361,0.0045107564191533,0.0926439972241499,0.0,0.0,0.0218598195697432,0.0,0.5918979744936234,0.0892723180795198,0.0,0.0742685671417854,0.0,0.2288072018004501,0.0157539384846211,0.3068267066766691,0.5603900975243811
34,017,000200,2010,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,164.0,10.81,115.0,7.58,27.0,1.78,34017000200,34017,28932.0,5528,3655,910,121,47,611,0,0,184,0,1377,716,104,0,152,0,376,29,275,891,33392.80143564,0.6611794500723589,0.164616497829233,0.0218885672937771,0.0085021707670043,0.1105282199710564,0.0,0.0,0.0332850940665701,0.0,0.5199709513435004,0.0755265068990559,0.0,0.1103848946986201,0.0,0.2730573710965868,0.0210602759622367,0.1997095134350036,0.6470588235294118
34,017,000200,2011,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,169.0,10.91,129.0,8.33,30.0,1.94,34017000200,34017,36798.0,5507,3858,756,145,40,515,0,0,158,35,1359,578,175,0,121,0,458,27,188,939,41173.67741052,0.7005629199201017,0.1372798256764118,0.0263301252950789,0.0072634828400217,0.0935173415652805,0.0,0.0,0.028690757218086,0.006355547485019,0.4253127299484915,0.1287711552612215,0.0,0.0890360559234731,0.0,0.3370125091979397,0.0198675496688741,0.1383370125091979,0.6909492273730684
34,017,000200,2012,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,188.0,12.14,145.0,9.36,46.0,2.97,34017000200,34017,29565.0,5297,3452,935,226,22,532,0,0,93,37,1366,626,164,0,115,0,445,16,238,897,32394.479890500003,0.6516896356428167,0.1765150084953747,0.0426656598074381,0.0041532943175382,0.100434208042288,0.0,0.0,0.0175571077968661,0.0069850858976779,0.4582723279648609,0.1200585651537335,0.0,0.0841874084919473,0.0,0.3257686676427526,0.0117130307467057,0.1742313323572474,0.6566617862371888
34,017,000200,2013,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,166.0,10.72,130.0,8.39,41.0,2.65,34017000200,34017,32216.0,5559,3303,1158,300,27,713,0,0,0,58,1428,597,160,0,143,0,485,43,276,862,34783.87389448,0.5941716135995683,0.2083108472746896,0.0539665407447382,0.0048569886670264,0.1282604785033279,0.0,0.0,0.0,0.0104335312106493,0.4180672268907563,0.1120448179271708,0.0,0.1001400560224089,0.0,0.3396358543417367,0.0301120448179271,0.1932773109243697,0.603641456582633
34,017,000200,2014,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,139.0,8.97,106.0,6.84,18.0,1.16,34017000200,34017,31522.0,5266,3123,1067,267,0,745,0,0,0,64,1585,699,123,0,173,0,545,45,374,885,33467.8026248,0.593049753133308,0.2026205848841625,0.0507026205848841,0.0,0.141473604253703,0.0,0.0,0.0,0.0121534371439422,0.4410094637223974,0.0776025236593059,0.0,0.1091482649842271,0.0,0.3438485804416404,0.028391167192429,0.23596214511041,0.5583596214511041
34,017,000200,2015,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,124.0,8.01,103.0,6.65,4.0,0.26,34017000200,34017,36488.0,5527,3127,1093,251,0,912,0,0,0,144,1549,675,122,0,235,0,439,78,375,763,38673.72424440001,0.5657680477655147,0.1977564682467885,0.0454134250045232,0.0,0.1650081418491044,0.0,0.0,0.0,0.0260539171340691,0.4357650096836669,0.078760490639122,0.0,0.1517107811491284,0.0,0.2834086507424144,0.0503550677856681,0.2420916720464816,0.4925758553905746
34,017,000200,2016,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,113.0,6.52,84.0,4.85,0.0,0.0,34017000200,34017,45684.0,5749,3082,1102,414,0,1051,0,0,0,100,1511,607,158,0,230,0,428,88,403,666,47804.02723656,0.5360932336058445,0.1916855105235693,0.0720125239172029,0.0,0.1828144025047834,0.0,0.0,0.0,0.0173943294485997,0.4017207147584381,0.1045665122435473,0.0,0.1522170747849106,0.0,0.2832561217736598,0.058239576439444,0.2667107875579086,0.4407677035076108
34,017,000200,2017,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,129.0,7.45,94.0,5.43,0.0,0.0,34017000200,34017,37765.0,5677,3257,878,385,0,1057,0,0,0,100,1675,797,196,0,236,0,351,95,355,833,38685.58720845,0.5737185132992778,0.1546591509600141,0.0678175092478421,0.0,0.1861898890258939,0.0,0.0,0.0,0.0176149374669719,0.475820895522388,0.1170149253731343,0.0,0.1408955223880597,0.0,0.2095522388059701,0.0567164179104477,0.2119402985074626,0.4973134328358209
34,017,000200,2018,34017000200,Census Tract 2,"Hudson County, New Jersey",observed,105.0,6.06,72.0,4.16,0.0,0.0,34017000200,34017,36784.0,5279,3128,831,429,0,841,0,0,0,50,1731,843,264,35,199,0,355,35,375,922,36784.0,0.5925364652396287,0.157416177306308,0.0812653911725705,0.0,0.1593104754688388,0.0,0.0,0.0,0.0094714908126539,0.487001733102253,0.1525129982668977,0.0202195262853841,0.1149624494511842,0.0,0.2050837666088966,0.0202195262853841,0.2166377816291161,0.5326400924321202
